filename,domain_tag,sha256,url
00001_medicinenet_62e51e535bd1.jpg,medicinenet,62e51e535bd1bbe4d2087bb0e375083af2fbad2474d7f64eaebe50367c494bab,https://images.medicinenet.com/images/article/main_image/9-impressive-health-benefits-of-barberries.jpg
00002_womenfitness_3c7f1a485dd8.jpg,womenfitness,3c7f1a485dd882b40220702bf09a3862e16a217bc59a041a9f40f6c3094481c7,https://www.womenfitness.net/img2013/artimg/mar/Barberries.jpg
00003_healthline_ee5cba43dc60.jpg,healthline,ee5cba43dc609f312b79c08bbff9513969955e85c88bca11b87055596c00686c,https://www.healthline.com/hlcmsresource/images/AN_images/barberries-1200x628-facebook.jpg
00004_feelgoodpal_4d5802124ae7.jpg,feelgoodpal,4d5802124ae762bd59af8a840a6dee1389f260e62144d69495a9294bbd07fa65,"https://feelgoodpal.com/cdn-cgi/image/f=auto,fit=cover,w=1200,h=630,q=100/blog/health-benefits-of-barberries/feature.jpg"
00005_saynasafir_518c9d558d3a.jpg,saynasafir,518c9d558d3a6a4db2beebe24686445755b3ad7a83ec6e7174e3da14047121ed,https://saynasafir.com/wp-content/uploads/2021/06/5-Barberry-6.jpg
00006_herbalrealit_e8142b063263.jpg,herbalrealit,e8142b063263c9f234f021b00be0a3a58dbe06c9639bea60835ca68e85c8ca96,https://i.herbalreality.com/wp-content/uploads/2023/06/21112307/barberry-scaled.jpg
00007_pixabay_a4f993a29622.jpg,pixabay,a4f993a2962206fbcc3ccb02425e5a312ddf9a0e3b5bae265d96091798638498,https://cdn.pixabay.com/photo/2020/09/30/16/17/barberries-5616344_1280.jpg
00008_tastingtable_048311c3fd95.jpg,tastingtable,048311c3fd953d3311e0507a19244a3a60440d332f3d44f05672cbf416079cf7,https://www.tastingtable.com/img/gallery/barberries-the-deliciously-tart-berry-thats-a-staple-of-iranian-cuisine/l-intro-1664543657.jpg
00009_pixabay_bdeaa7c81882.jpg,pixabay,bdeaa7c818822aa4d2cd79d35c5b93f7df7059273241686e2530a8e8d65cf88c,https://cdn.pixabay.com/photo/2020/11/15/16/00/barberries-5746235_1280.jpg
00010_co_0e85af34d6db.jpg,co,0e85af34d6db11faa0b048a07a55b01d48f375cffbf95d7d9ab1368b7943c4dd,https://hesarionline.co.nz/cdn/shop/articles/dried-iranian-barberries-close-up-full-frame-as-background.jpg?v=1693363490
00011_imgix_8522ceb908fc.jpg,imgix,8522ceb908fce87c6be02c700d24ba3a5247f31a8eb8e5e8dd189a9c67e03da9,"https://koro.imgix.net/media/a1/26/aa/1646310076/Xy9Hbc18rrcSb_image-jpg88WTgFkgRDZ5I6220b2bc21a39.jpg?w=1920&auto=format,compress&fit=max&cs=srgb"
00012_imgix_83acf74c6800.jpg,imgix,83acf74c6800821d77dfcc9b1b634a3489dec6f1a2a4d968f994147fd26e0400,"https://koro.imgix.net/media/fe/1b/a3/1646291090/IMG_20211121_1554396220689279ce8.jpg?w=1920&auto=format,compress&fit=max&cs=srgb"
